OSEBuildingID,PrimaryPropertyType,PropertyName,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance_from_City_Hall,proportion_elec,ln_consommation,ln_emissions,education,leisure,lodging,mall,medical,non refrigerated warehouse,office,other,refrigerated warehouse,restauration,services,store
19926,office,7th & Bell Building,7,1965.0,1.0,1.0,0.0,23752.0,,1067153.75,30.33,1.7645548939237972,0.62,13.8805065525699,3.4445761049641,0.0,0.0,0.0,0.0,0.0,0.0,14317.0,0.0,0.0,0.0,0.0,9435.0
19927,lodging,The Loyal Inn,7,1967.0,1.0,4.0,0.0,44416.0,61.0,2669564.25,72.78,1.8147136559843051,0.62,14.797426189403204,4.3010876921685295,0.0,0.0,52668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19928,other,Olympic Sculpture Park,7,2006.0,1.0,2.0,22867.0,10925.0,,2547848.0,30.6,2.271232012711235,0.87,14.750760031751714,3.4531571205928664,0.0,10569.0,0.0,0.0,0.0,8540.0,0.0,0.0,0.0,0.0,0.0,0.0
19967,education,Queen Anne Gym,7,2001.0,1.0,1.0,0.0,35805.0,100.0,431471.6875,11.54,3.595449021120308,0.62,12.974959490862672,2.5289235352047745,35805.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000,other,EMMANUEL BIBLE CHURCH,6,1928.0,1.0,2.0,0.0,45991.0,77.0,1145535.75,36.43,6.983178779011728,0.37,13.951383862421304,3.6224725219163374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45991.0,0.0,0.0,0.0,0.0
20029,lodging,Washington Phikeia Foundation,4,1921.0,1.0,3.0,0.0,21499.0,85.0,605130.6875,4.22,6.819594648038978,0.87,13.313201378616585,1.6524974018945473,0.0,0.0,21499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20033,office,Lisa Li Building,4,1989.0,1.0,2.0,0.0,20384.0,16.0,1791071.375,13.91,7.087344924943756,0.87,14.39832509061163,2.702032128776647,0.0,0.0,0.0,0.0,0.0,0.0,25021.0,0.0,0.0,0.0,0.0,0.0
20047,store,BLDG A,4,1956.0,1.0,2.0,0.0,39265.0,,5238803.0,47.12,6.918822637822278,0.87,15.471603785970728,3.873697891106478,0.0,0.0,0.0,0.0,0.0,0.0,4388.0,2679.0,0.0,0.0,0.0,31905.0
20048,store,NW BLDG,4,1956.0,1.0,2.0,0.0,54284.0,18.0,6778694.0,63.61,6.918822637822278,0.87,15.729295163514228,4.168369197570074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,0.0,0.0,0.0,52784.0
20050,store,BLDG C,4,1956.0,1.0,1.0,0.0,23409.0,67.0,2545405.0,28.41,6.918822637822278,0.87,14.749800723730674,3.381334752565904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,21909.0
