OSEBuildingID,PrimaryPropertyType,PropertyName,CouncilDistrictCode,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance_from_City_Hall,proportion_elec,ln_consommation,ln_emissions
111,other,Mercer Arena,7,1928.0,1.0,1.0,0.0,60696.0,other,108000.0,aucun,0.0,aucun,0.0,,875943.3125,6.11,2.729946479175536,0.87,13.683057797692378,1.9615022438151495
113,office,KCTS9,7,1986.0,0.0,2.0,2352.0,63888.0,office,45900.0,refrigerated warehouse,5181.0,mall,4551.0,,4166306.25,29.04,2.6272067071850094,0.87,15.242540649883813,3.402529826895934
115,office,J.G. Scripps Building,7,1970.0,1.0,4.0,25930.0,50283.0,office,48546.0,non refrigerated warehouse,21454.0,other,2406.0,68.0,3476212.5,48.76,2.83177249886104,0.87,15.061454184654979,3.907211448430924
116,lodging,MEDITERRANEAN INN (ID#116),7,2002.0,1.0,6.0,36934.0,59976.0,lodging,59976.0,non refrigerated warehouse,36934.0,aucun,0.0,56.0,5155568.5,152.14,2.9414690567991637,0.62,15.455588144597986,5.031352535684977
117,lodging,UNIVERSITY INN,4,1962.0,2.0,4.0,0.0,50017.0,lodging,50017.0,other,0.0,aucun,0.0,53.0,5448975.0,191.2,6.063230118922473,0.37,15.51093825907765,5.258536496536192
118,education,Pathfinder K-8,1,1999.0,1.0,3.0,0.0,74468.0,education,75364.0,aucun,0.0,aucun,0.0,,1698176.0,11.84,4.944993046143199,0.87,14.345065880703475,2.552565298261815
119,education,St. Joseph K-8 School,3,1923.0,1.0,3.0,0.0,67743.0,education,67743.0,aucun,0.0,aucun,0.0,34.0,2646879.0,78.85,2.9020290258095556,0.62,14.788892145840842,4.380149874661021
120,education,Holy Names Academy,3,1908.0,1.0,6.0,0.0,194104.0,education,194104.0,aucun,0.0,aucun,0.0,100.0,6219841.5,243.23,3.1632096302548023,0.37,15.643255142851357,5.498110404253996
121,office,2100 Building,3,2003.0,1.0,3.0,35752.0,63681.0,office,63681.0,non refrigerated warehouse,35752.0,aucun,0.0,63.0,4897760.0,34.14,3.072212298004886,0.87,15.40428871987701,3.559340082758951
122,education,John Muir Elementary,2,1991.0,1.0,2.0,0.0,58933.0,education,60725.0,aucun,0.0,aucun,0.0,,2347138.0,16.36,4.5017194659485185,0.87,14.668707697621425,2.854168709232204
